NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
200006271946;2020;11;F;1;2;1;1;11;1;;0;;;;;;;;1501402;Bel�m;15;PA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200001195856;2020;11;M;2;3;1;1;11;1;;0;;;;;;;;2408102;Natal;24;RN;1;1;1;1;702;689;693;698;604.1;661.7;595.3;711.3;BCBDBDCCCDBDDBADEEACEEAECBECCDBCACDEBEECEBAAE;BCAECABCDCEBDBBBDAABABACBCDDDBDDBABDAADACACBC;99999CADDEDADBAABEAADAAAADCADAABDCCBEECAEECAACBBEB;EBEBDEDAECBADCADDABACAEDBEEEAEADCCBCEACDACEBB;1;ABBACBCCCDDDDBAEEBECEDACABDCBEDAECDABECCBBADE;BCEECDBCCDEBDBBBBEAAAEACBCDDDBDDBABDABDDBAABC;99999CBDDEDBDBACECABAAAEAECCDCABCBBBBEEDCECAAEBDEB;BBEADECAECBBXCEBADBACAEDACEDADAADCBCCBBDABBEE;1;120;120;120;120;100;580;;;;;;;;;;;;;;;;;;;;;;;;;
200001943954;2020;4;F;2;3;2;2;0;2;1;0;2927408;Salvador;29;BA;2;1;1;2927408;Salvador;29;BA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;C;A;D;3;B;A;B;A;A;A;B;A;B;A;B;A;A;B;A;A;A;A;A;A
200001908998;2020;2;M;1;3;1;2;0;2;1;0;3547304;Santana de Parna�ba;35;SP;3;1;1;3547304;Santana de Parna�ba;35;SP;1;1;1;1;700;688;692;696;620.8;675;624.2;759.4;EBEDCCCDCBDBAECAECCECEACCBAABBBCEABCAAAEBEBAE;DABCCACCBCCDCADBDCBAAEBDDBAABDBAEBEBBABDABDBE;DCEAB99999AADAECCEBCDDDCBABDDABBCEEBAEDDDADEBECEDB;CBDBDCCDDEECBAABBBADEDEDBECDEBBADAEBAABBECBBA;0;BDECCACBEBDEAEDAECCBAEABCCEADDBBCADCBDDEBDBAC;DABCCAECBABECADBDCCABDBCDDAABDBAEBEBBDBDDBDBE;DCEAD99999AADACCCCBBDDCABAECAABBEECBAEDDBBEEBECEAB;EBDBXCCDAEECBAABABAEDDEDAECBCDCADEEBBABBACBCA;1;140;200;140;120;160;760;;;;;;;;;;;;;;;;;;;;;;;;;
200001634757;2020;4;F;1;3;2;1;1;1;;0;;;;;;;;3121605;Diamantina;31;MG;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;G;B;B;3;B;A;B;D;A;A;B;A;B;A;A;A;A;B;A;B;B;A;A;B
200003132410;2020;3;F;1;3;1;1;1;1;;0;;;;;;;;4305207;Cerro Largo;43;RS;1;1;1;1;598;567;577;588;498.1;604.7;505.4;526.7;CABBEEACAEBEBCCDACBEDADDCCBECDCBDADDEBDBDACAB;ACEBBDDCADDAACEEAAEBDBDCCDACCDEDCDACADBBBECDD;99999CBECEBEDBEECEABBADCDDADCADAAECDEBAAADEBADADBC;BADCAAAEEDBEDBACEDBACCDBABDECCDDCCAEAACEDACCB;1;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1;140;120;140;140;160;700;C;B;C;B;5;C;A;B;E;A;A;B;A;A;A;B;A;A;B;B;A;D;A;B;B
200001379770;2020;9;M;1;3;1;1;6;1;;0;;;;;;;;2611606;Recife;26;PE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200001334237;2020;4;M;1;1;1;1;1;1;;0;;;;;;;;3550308;S�o Paulo;35;SP;1;1;1;1;699;687;691;695;604.6;604.8;562.1;753.2;CECACBBCADACADDEEBDBCBAEEEEBDADABDCEEDDCCDCBC;EAADABBEABCADDBAAEDBCABDABAACAEAEEABECBBADEDB;CADDE99999AEEADBAAABEEECEEDADACBDECABEBEADBCCBAAAA;BABADDBDAEBAEBBBEEDEEECBCEBBDACCEABDCCBADDCCE;0;DEAAECBBCDCBAEBEEBDBCCACECCDACDABDDBADDECBEBA;EAAADBBEDBDACDBCCDEBDBBCBBADCAECDBABDBCBADEDB;CADDE99999DEBBBBBAADBECBEACCBECEDAEABEECBDCCADAACA;BABBDABAEEBACBACDEDEEXCACEBBADCBEABADCBADDCCE;1;140;120;120;120;100;600;;;;;;;;;;;;;;;;;;;;;;;;;
200006762554;2020;5;F;2;3;1;1;3;1;;0;;;;;;;;2507507;Jo�o Pessoa;25;PB;1;1;1;1;598;567;577;588;439.7;383.5;486.2;448.5;DABCDCAEDEDCBEDCDACDDAEBDCEECCDCEECDABDABECAC;ECCAEAEACDDABCBDABEADBABACADABACDDEECBACCDAEC;99999DDCBBABECCACCBBCDACCCAAAADDEAADBBAEECEDEAEDBA;EEDCCEACEBAAAADCDCCABCAEBBEBABDDCCABDEADEDECB;1;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1;120;120;120;140;100;600;B;C;C;B;2;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;A
200005146210;2020;2;M;1;2;1;2;0;2;1;0;;;;;;;;2304400;Fortaleza;23;CE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;A;A;B;A;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;A;A;A;B
